Taxon,Date
JX402880.1,2011
JX402879.1,2011
JX402877.1,2011
JX402876.1,2011
JX402875.1,2011
JX402874.1,2011
JX402873.1,2011
JX402872.1,2011
JX402871.1,2011
JX308266.1,2011
JX308265.1,2011
JX308264.1,2011
JX308263.1,2011
JX308261.1,2011
JX308249.1,2011
JX308248.1,2011
JX215251.1,2011
JX215250.1,2011
JX215249.1,2011
JX215248.1,2011
JX215247.1,2011
JX215246.1,2011
JX215245.1,2011
JX215254.1,2011
JX215253.1,2011
JX215252.1,2011
JX157958.1,2011
JX157959.1,2011
JX026876.1,2011
JX026875.1,2011
JX026874.1,2011
JX026873.1,2011
JQ990069.1,2011
JQ990068.1,2011
JQ990067.1,2011
JQ990066.1,2011
JQ990065.1,2011
JN005820.1,2011
JN005819.1,2011
JN005818.1,2011
JN005817.1,2011
JN005816.1,2011
JN005815.1,2011
JN005814.1,2011
JN005813.1,2011
JN005812.1,2011
JN005811.1,2011
JN005810.1,2011
JN005809.1,2011
JN005806.1,2011
JN005805.1,2011
JN005804.1,2011
JN005803.1,2011
JN005802.1,2011
JN005801.1,2011
JN005800.1,2011
JN005799.1,2011
JN005798.1,2011
JN005797.1,2011
JN005796.1,2011
JN005795.1,2011
JN005794.1,2011
JN005793.1,2011
JN005792.1,2011
JN005791.1,2011
JN005790.1,2011
JN005789.1,2011
JN005788.1,2011
JN005787.1,2011
JN005786.1,2011
JQ942133.1,2011
JQ942142.1,2011
JQ942141.1,2011
JQ942140.1,2011
JQ942139.1,2011
JQ942138.1,2011
JQ942137.1,2011
JQ942136.1,2011
JQ942135.1,2011
JQ942134.1,2011
JQ942132.1,2011
JQ942131.1,2011
JQ942130.1,2011
JQ942129.1,2011
JQ942128.1,2011
JQ942127.1,2011
JQ942126.1,2011
JN599031.1,2011
JN599030.1,2011
JN599029.1,2011
JN599028.1,2011
JN599027.1,2011
JN599026.1,2011
JN599025.1,2011
JN599024.1,2011
JN599023.1,2011
JN599022.1,2011
JN599021.1,2011
JN599020.1,2011
JN599019.1,2011
JN599018.1,2011
JN599017.1,2011
JN599016.1,2011
JN599015.1,2011
JN599014.1,2011
JN599013.1,2011
JN599012.1,2011
JN599011.1,2011
JN599010.1,2011
JN599009.1,2011
JN599008.1,2011
JN599007.1,2011
JN599006.1,2011
JN599005.1,2011
JN599004.1,2011
JN599003.1,2011
JN599002.1,2011
JN599001.1,2011
JN599000.1,2011
JN598999.1,2011
JN598998.1,2011
JN598997.1,2011
JN005808.1,2011
JN005807.1,2011
HQ214128.1,2011
HQ214127.1,2011
HQ214126.1,2011
HQ214125.1,2011
HQ214124.1,2011
HQ214123.1,2011
HQ214122.1,2011
HQ214121.1,2011
KF385860.1,2011
KC492071.1,2011
KC492070.1,2011
KC492069.1,2011
KC492068.1,2011
KC492067.1,2011
KC492066.1,2011
JX315585.1,2011
JX315598.1,2011
JX315597.1,2011
JX315596.1,2011
JX315595.1,2011
JX315594.1,2011
JX315593.1,2011
JX315592.1,2011
JX315591.1,2011
JX315590.1,2011
JX315589.1,2011
JX315588.1,2011
JX315587.1,2011
JX315586.1,2011
JX402882.1,2011
JX402881.1,2011
JX402878.1,2011
JX308262.1,2011
JX308260.1,2011
JX308259.1,2011
JX308258.1,2011
JX308257.1,2011
JX308256.1,2011
JX308255.1,2011
JX308254.1,2011
JX308253.1,2011
JX308252.1,2011
JX308251.1,2011
JX308250.1,2011
JX014318.1,2011
JX014317.1,2011
JX014316.1,2011
JX014315.1,2011
JX026872.1,2011
JX026871.1,2011
JX026870.1,2011
JX026869.1,2011
JX026867.1,2011
JX026866.1,2011
JX026865.1,2011
JX026864.1,2011
JX026863.1,2011
JX026862.1,2011
JX026859.1,2011
JX026858.1,2011
JX014436.1,2011
JQ990064.1,2011
JQ990063.1,2011
JQ990062.1,2011
JQ990061.1,2011
JQ994392.1,2011
JQ994391.1,2011
JQ978704.1,2011
JQ978705.1,2011
JQ978706.1,2011
JQ978707.1,0
JQ978708.1,0
JQ978709.1,0
JQ978710.1,0
JQ978711.1,0
JQ978712.1,0
JQ978713.1,0
JQ978714.1,0
JQ978715.1,0
JQ978716.1,0
JX026868.1,0
JX026861.1,0
JX026860.1,0
